Waktu,Beban_MW,Suhu_C,Jam,Hari_Minggu,Bulan,Adalah_Libur
2022-01-01 00:00:00,46.34,30.9,0,5,1,1
2022-01-01 01:00:00,46.54,30.8,1,5,1,1
2022-01-01 02:00:00,48.51,31.5,2,5,1,1
2022-01-01 03:00:00,50.96,32.1,3,5,1,1
2022-01-01 04:00:00,48.77,30.3,4,5,1,1
2022-01-01 05:00:00,50.13,29.6,5,5,1,1
2022-01-01 06:00:00,55.36,30.3,6,5,1,1
2022-01-01 07:00:00,57.03,28.6,7,5,1,1
2022-01-01 08:00:00,64.45,26.6,8,5,1,1
2022-01-01 09:00:00,68.01,26.4,9,5,1,1
2022-01-01 10:00:00,68.36,24.6,10,5,1,1
2022-01-01 11:00:00,70.75,23.8,11,5,1,1
2022-01-01 12:00:00,72.98,23.7,12,5,1,1
2022-01-01 13:00:00,73.76,21.6,13,5,1,1
2022-01-01 14:00:00,76.91,21.6,14,5,1,1
2022-01-01 15:00:00,75.7,22.7,15,5,1,1
2022-01-01 16:00:00,74.78,22.7,16,5,1,1
2022-01-01 17:00:00,77.53,24.4,17,5,1,1
2022-01-01 18:00:00,80.36,24.3,18,5,1,1
2022-01-01 19:00:00,82.17,24.8,19,5,1,1
2022-01-01 20:00:00,84.68,28.2,20,5,1,1
2022-01-01 21:00:00,85.02,27.9,21,5,1,1
2022-01-01 22:00:00,75.23,29.1,22,5,1,1
2022-01-01 23:00:00,65.99,28.7,23,5,1,1
2022-01-02 00:00:00,45.16,30.0,0,6,1,1
2022-01-02 01:00:00,45.73,31.0,1,6,1,1
2022-01-02 02:00:00,48.09,30.1,2,6,1,1
2022-01-02 03:00:00,46.53,31.2,3,6,1,1
2022-01-02 04:00:00,49.59,30.0,4,6,1,1
2022-01-02 05:00:00,48.45,29.6,5,6,1,1
2022-01-02 06:00:00,53.91,28.5,6,6,1,1
2022-01-02 07:00:00,58.76,29.5,7,6,1,1
2022-01-02 08:00:00,63.14,27.0,8,6,1,1
2022-01-02 09:00:00,68.44,25.1,9,6,1,1
2022-01-02 10:00:00,70.2,25.7,10,6,1,1
2022-01-02 11:00:00,69.8,23.2,11,6,1,1
2022-01-02 12:00:00,72.85,23.7,12,6,1,1
2022-01-02 13:00:00,71.26,21.6,13,6,1,1
2022-01-02 14:00:00,73.91,21.9,14,6,1,1
2022-01-02 15:00:00,75.29,23.3,15,6,1,1
2022-01-02 16:00:00,75.55,24.1,16,6,1,1
2022-01-02 17:00:00,80.14,24.3,17,6,1,1
2022-01-02 18:00:00,79.98,24.9,18,6,1,1
2022-01-02 19:00:00,83.67,25.7,19,6,1,1
2022-01-02 20:00:00,82.15,25.8,20,6,1,1
2022-01-02 21:00:00,87.1,27.5,21,6,1,1
2022-01-02 22:00:00,74.68,28.6,22,6,1,1
2022-01-02 23:00:00,65.6,30.7,23,6,1,1
2022-01-03 00:00:00,48.97,30.7,0,0,1,0
2022-01-03 01:00:00,49.72,29.5,1,0,1,0
2022-01-03 02:00:00,52.98,31.3,2,0,1,0
2022-01-03 03:00:00,55.01,30.6,3,0,1,0
2022-01-03 04:00:00,52.09,29.9,4,0,1,0
2022-01-03 05:00:00,54.69,30.3,5,0,1,0
2022-01-03 06:00:00,58.32,29.8,6,0,1,0
2022-01-03 07:00:00,63.48,28.8,7,0,1,0
2022-01-03 08:00:00,71.96,26.3,8,0,1,0
2022-01-03 09:00:00,73.42,25.7,9,0,1,0
2022-01-03 10:00:00,77.53,25.3,10,0,1,0
2022-01-03 11:00:00,78.74,25.0,11,0,1,0
2022-01-03 12:00:00,79.09,23.2,12,0,1,0
2022-01-03 13:00:00,81.98,23.0,13,0,1,0
2022-01-03 14:00:00,80.23,22.1,14,0,1,0
2022-01-03 15:00:00,84.85,22.2,15,0,1,0
2022-01-03 16:00:00,85.29,24.2,16,0,1,0
2022-01-03 17:00:00,88.23,25.3,17,0,1,0
2022-01-03 18:00:00,93.99,24.9,18,0,1,0
2022-01-03 19:00:00,90.43,26.8,19,0,1,0
2022-01-03 20:00:00,93.39,27.3,20,0,1,0
2022-01-03 21:00:00,95.82,27.5,21,0,1,0
2022-01-03 22:00:00,82.74,29.3,22,0,1,0
2022-01-03 23:00:00,73.62,31.1,23,0,1,0
2022-01-04 00:00:00,48.21,30.4,0,1,1,0
2022-01-04 01:00:00,54.82,32.1,1,1,1,0
2022-01-04 02:00:00,49.55,28.9,2,1,1,0
2022-01-04 03:00:00,53.9,31.5,3,1,1,0
2022-01-04 04:00:00,52.73,30.5,4,1,1,0
2022-01-04 05:00:00,54.81,29.6,5,1,1,0
2022-01-04 06:00:00,57.8,29.1,6,1,1,0
2022-01-04 07:00:00,63.48,26.4,7,1,1,0
2022-01-04 08:00:00,70.03,26.8,8,1,1,0
2022-01-04 09:00:00,73.53,26.3,9,1,1,0
2022-01-04 10:00:00,76.35,26.2,10,1,1,0
2022-01-04 11:00:00,80.32,23.8,11,1,1,0
2022-01-04 12:00:00,79.81,22.9,12,1,1,0
2022-01-04 13:00:00,81.35,22.7,13,1,1,0
2022-01-04 14:00:00,82.49,23.7,14,1,1,0
2022-01-04 15:00:00,81.5,23.4,15,1,1,0
2022-01-04 16:00:00,85.41,23.1,16,1,1,0
2022-01-04 17:00:00,86.72,24.6,17,1,1,0
2022-01-04 18:00:00,90.03,25.1,18,1,1,0
2022-01-04 19:00:00,91.36,26.7,19,1,1,0
